- парфен ? да уж это не тех ли самых рогожиных ... - начал было с усиленною важностью чиновник . ||| “ 帕 尔 芬 ？ 这 不 就 是 那 一 家 罗 戈 任 … … ” 小 公 务 员 特 别 傲 慢 地 说 。
книгу я спрятал на чердак , завернув ее в чистую рубашку и бумагу , боясь , чтобы хозяева не отняли , не испортили ее . ||| 我 把 这 书 用 清 洁 的 内 衣 和 纸 包 着 ， 藏 在 阁 楼 上 ， 害 怕 被 主 人 们 拿 去 弄 坏 了 。
но ведь , оборачиваясь на прожитое , мы и в переплетениях судеб можем выявить будто бы некий узор , оформленный , как оформлено все в живой и неживой природе , заставляющий думать : не сходятся ли доступные нам представления о смысле и красоте в некоей изначальной общей точке ? ||| 但 是 ， 要 知 道 当 我 们 把 思 路 转 到 所 经 历 过 的 事 情 上 时 ， 我 们 能 够 在 命 运 的 错 综 复 杂 中 发 现 某 种 图 案 ， 仿 佛 一 切 被 装 饰 在 鲜 活 和 了 无 生 气 的 大 自 然 中 ， 迫 使 我 们 思 考 ： 被 我 们 所 接 受 的 某 个 亘 古 以 来 共 同 点 上 有 关 涵 义 和 美 的 概 念 ， 是 否 彼 此 一 致 ？
пустил крутиться . ||| 让 它 们 旋 转 。
худенькая . ||| 瘦 瘦 的 。
как это сказать ему , он бы понял , и мне было бы спокойней . ||| 要 是 对 他 说 了 ， 他 会 明 白 的 ， 我 也 就 放 心 了 。
— но давайте еще по одной . ||| 让 我 们 再 来 一 杯 。
взял с тарелки зеленую маринованную травку и стал жевать . ||| 从 盘 子 里 抓 起 一 根 草 ， 开 始 嚼 起 来 。
захватившая людей , ||| 引 起 人 们 极 大 兴 趣 ，
был час ужина . ||| 晚 餐 的 时 间 已 到 ，
он попытался улыбнуться и сказать что-нибудь ободряющее . ||| 他 本 想 笑 笑 ， 说 些 让 岳 母 振 作 起 来 的 话 ，
вдруг он слышит – под кроватью кто-то скребется . ||| 忽 然 听 见 床 下 有 谁 在 抓 挠 ，
клавдия ивановна говорила , что четыре тысячи стоит , старинной работы… ||| 克 拉 芙 季 娅 · 伊 万 诺 夫 娜 说 ， 价 值 四 千 卢 布 ， 古 老 的 工 艺 … … ”
дойдя до слова « музыкальный » , александр яковлевич покраснел . ||| 说 到 音 乐 小 组 ， 亚 历 山 大 · 雅 科 夫 列 维 奇 红 了 脸 ，
остап наклонился к замочной скважине , приставил ко рту ладонь трубой и внятно сказал : ||| 奥 斯 塔 普 俯 下 身 对 着 锁 孔 ， 将 手 圈 成 一 个 喇 叭 ， 宇 字 清 晰 地 说 道 ：
а сделать можно много : можно освободить город от заразного привозного рынка , построить крытые стеклянные корпуса , можно построить постоянный мост вместо временного , ежегодно сносимого ледоходом , можно , наконец , осуществить проект постройки огромной мясохладобойни . ||| 能 做 的 事 情 还 很 多 ： 例 如 取 消 污 染 老 城 的 外 货 市 场 ， 建 造 几 座 封 闭 式 的 玻 璃 建 筑 ; 还 可 以 架 设 一 座 永 久 性 的 桥 梁 来 代 替 原 有 那 座 每 逢 解 冻 时 都 要 被 冲 垮 的 旧 挢 ， 最 后 ， 还 可 以 实 现 兴 建 屠 宰 冷 藏 联 合 体 的 计 划 方 案 。
она прочитывала вслух все печатные критики на мебель , отпускала острые замечания насчет посетителей и подолгу застаивалась у каждого экспоната . ||| 她 大 声 读 着 所 有 有 关 家 具 的 科 学 与 思 想 品 评 文 字 ， 发 表 着 对 参 观 者 的 尖 锐 意 见 ， 在 每 件 展 品 前 久 久 地 逗 留 。
для меня это – сущие пустяки . ||| 对 我 来 说 ， 不 过 是 区 区 小 事 ，
– пушкин писал турецкие стихи и никогда не был в турции . ||| “ 普 希 金 写 过 关 于 土 耳 其 的 诗 ， 可 他 从 未 到 过 土 耳 其 。 ”
а с двадцатью рублями мы сейчас же сможем сеть на пароход , – как раз « карл либкнехт » сверху пришел , спокойно ехать в сталинград и ждать там приезда театра . ||| 拿 这 二 十 卢 布 咱 们 现 在 立 刻 就 能 搭 上 轮 船 ， ‘ 卡 尔 - 李 卜 克 内 西 ’ 号 正 好 从 上 游 来 。 咱 们 满 可 以 安 安 稳 稳 到 达 斯 大 林 格 勒 ， 在 那 儿 等 着 剧 团 。
– расспрашивал о государственной думе ! ||| “ 他 详 细 地 问 了 杜 马 的 事 ！
– здравствуйте ! – сказал на восьмое утро остап , которому с похмелья пришло в голову почитать « зарю востока » . ||| “ 您 好 ! ” 奥 斯 塔 普 在 第 八 天 早 上 醉 后 醒 来 ， 忽 然 心 血 来 潮 想 读 读 《 东 方 朝 霞 》 报 。
– вы в самом деле на меня обиделись ? – спросил остап . ||| “ 您 真 的 生 我 的 气 啦 ？ ” 奥 斯 塔 普 问 。
тут-то увидел акакий акакиевич , что без новой шинели нельзя обойтись , и поник совершенно духом . ||| 至 此 ， 阿 卡 基 · 阿 卡 基 耶 维 奇 算 是 明 白 了 ， 不 做 一 件 新 外 套 是 不 行 了 ， 立 刻 便 垂 头 丧 气 了 。
— нет , не надо ... ||| “ 不 ， 我 不 要 … … ”
поправил колпак и пошел , тяжело покачиваясь , щупая ногами палубу , точно медведь . ||| 他 把 白 帽 子 拉 一 拉 正 ， 便 摇 晃 着 笨 重 的 身 体 ， 象 熊 一 样 一 步 一 蹭 地 踏 着 甲 板 走 了 。
на оттоманке в углу , поджав под себя ноги и зябко укутав плечи румынской коричневой шалью , молча пристроилась шурочка , жена хозяина . ||| 主 人 之 妻 舒 罗 奇 卡 靠 在 角 落 的 扶 手 沙 发 上 ， 盘 起 双 腿 ， 怕 冷 似 的 用 罗 马 尼 亚 棕 色 披 巾 裹 住 双 肩 ， 默 然 坐 着 。
она не претендует на величие , ее сила — именно в общедоступности . ||| 它 并 不 白 命 不 凡 ， 其 力 量 正 是 在 于 普 及 。
и этот макарий , поп , то есть расстрига , у них был за главного . ||| 这 个 马 卡 里 ， 就 是 免 去 教 职 的 神 甫 ， 他 们 拥 戴 他 当 了 头 儿 。
об этой нужде свидетельствовала и старая , почти выпотрошенная амбарная книга купца басалаева ; в сущности , там оставалось четыре листа , и то оборванные . ||| 关 于 这 种 贫 困 ， 商 人 巴 萨 拉 耶 夫 的 那 本 被 撕 得 差 不 多 的 货 栈 旧 货 物 登 记 簿 可 以 作 证 ； 实 际 上 ， 那 里 只 剩 下 四 页 纸 ， 包 括 反 面 。
— как хорошо , что вы объявились . я уж не знала , что и думать . проходите . ||| “ 太 好 了 ， 您 能 来 。 我 已 经 不 知 道 还 想 要 什 么 。 进 来 吧 。 ”
оболочки стручков свернулись обугленными спиралями . ||| 豆 角 的 外 壳 弯 成 碳 化 的 螺 旋 形 。
